				91.79%									
Date	Tier	Finish Wave	Max Wave	Percentage	Earned Coins	Ad Coins	Total Coins (B)	Time (minutes)	Minutes/Billion	Event Kills	Progress	Kills/Game	Games Left
													
2025-05-18	8	4984	4230	117.83%	8.88	4.44	13.32	452.80	34.0				
2025-05-18	9	3378	3637	92.88%	3.55	1.78	5.33	304.18	57.1				
2025-05-18	10	2268	3148	72.05%	2.47	1.23	3.7	202.95	54.9				
2025-05-18	10	2554	3148	81.13%	2.5	1.25	3.75	228.95	61.1				
2025-05-19	10	2580	3148	81.96%	2.66	1.33	3.99	230.50	57.8				
2025-05-19	10	2721	3148	86.44%	3.62	1.81	5.43	243.10	44.8				
2025-05-19	10	2547	3148	80.91%	2.49	1.25	3.74	226.42	60.5				
2025-05-19	11	1477	1584	93.24%	1.45	0.72442	2.17442	130.22	59.9				
2025-05-20	11	1319	1584	83.27%	1.06	0.53172	1.59172	115.27	72.4				
2025-05-21	11	1327	1584	83.78%	1.07	0.53406	1.60406	116.20	72.4				
2025-05-21	10	2414	3148	76.68%	2.86	1.43	4.29	213.92	49.9				
2025-05-21	10	2928	3148	93.01%	3.25	1.63	4.88	262.22	53.7				
2025-05-21	10	2336	3148	74.21%	2.21	1.1	3.31	208.87	63.1				
2025-05-21	10	3050	3148	96.89%	3.28	1.64	4.92	274.43	55.8				
2025-05-22	7	4424	4839	91.42%	4.97	2.49	7.46	400.57	53.7				
2025-05-22	10	2428	3148	77.13%	2.07	1.04	3.11	217.55	70.0				
2025-05-22	10	2556	3148	81.19%	3.3	1.65	4.95	226.63	45.8				
2025-05-22	12	453	362	125.14%	0.26251	0.13123	0.39374	35.58	90.4	3500			
2025-05-22	11	1383	1584	87.31%	1.24	0.61855	1.85855	121.30	65.3	3500			
2025-05-23	10	2623	3148	83.32%	3.09	1.55	4.64	234.75	50.6	3970			
2025-05-23	12	398	453	87.86%	0.22851	0.11424	0.34275	30.82	89.9	3970			
2025-05-23	12	410	453	90.51%	0.21908	0.10952	0.3286	31.83	96.9	3970			
2025-05-23	12	372	453	82.12%	0.19014	0.09506	0.2852	28.38	99.5	3970			
2025-05-23	12	416	453	91.83%	0.21509	0.10753	0.32262	32.92	102.0	3970			
2025-05-23	9	3098	3637	85.18%	5.88	2.94	8.82	277.80	31.5				
